,Hyundai,Accent ," $16,270.00 ",Manufacturer,Model,MSRP,Company
314,,,,Mercedes,2019 Mercedes-Benz Mercedes-AMG GLE Coupe,"$72,345 ",
315,,,,Mercedes,2019 Mercedes-Benz Mercedes-AMG GLS,"$127,145 ",
316,,,,Mercedes,2020 Mercedes-Benz A-Class,"$33,795 ",
317,,,,Mercedes,2020 Mercedes-Benz C-Class,"$54,945 ",
318,,,,Mercedes,2020 Mercedes-Benz CLA,"$37,645 ",
319,,,,Mercedes,2020 Mercedes-Benz CLS,"$70,945 ",
320,,,,Mercedes,2020 Mercedes-Benz E-Class,"$72,395 ",
321,,,,Mercedes,2020 Mercedes-Benz G-Class,"$128,645 ",
322,,,,Mercedes,2021 Mercedes-Benz GLA,"$37,280 ",
323,,,,Mercedes,2020 Mercedes-Benz GLB,"$37,595 ",
324,,,,Mercedes,2020 Mercedes-Benz GLC,"$43,495 ",
325,,,,Mercedes,2019 Mercedes-Benz GLC Coupe,"$48,295 ",
326,,,,Mercedes,2020 Mercedes-Benz GLE,"$54,695 ",
327,,,,Mercedes,2020 Mercedes-Benz GLS,"$76,195 ",
328,,,,Mercedes,2020 Mercedes-Benz Mercedes-AMG A-Class,"$45,945 ",
329,,,,Mercedes,2020 Mercedes-Benz Mercedes-AMG C-Class,"$65,745 ",
330,,,,Mercedes,2019 Mercedes-Benz Mercedes-AMG CLA,"$54,095 ",
331,,,,Mercedes,2020 Mercedes-Benz Mercedes-AMG CLS,"$82,195 ",
332,,,,Mercedes,2020 Mercedes-Benz Mercedes-AMG E-Class,"$82,645 ",
333,,,,Mercedes,2019 Mercedes-Benz Mercedes-AMG G-Class,"$148,495 ",
334,,,,Mercedes,2019 Mercedes-Benz Mercedes-AMG GLA,"$54,345 ",
335,,,,Mercedes,2020 Mercedes-Benz Mercedes-AMG GLC,"$60,495 ",
336,,,,Mercedes,2020 Mercedes-Benz Mercedes-AMG GLC Coupe,"$63,995 ",
337,,,,Mercedes,2019 Mercedes-Benz Mercedes-AMG GLE,"$69,145 ",
338,,,,Mercedes,2019 Mercedes-Benz Mercedes-AMG GLE Coupe,"$72,345 ",
339,,,,Mercedes,2019 Mercedes-Benz Mercedes-AMG GLS,"$127,145 ",
340,,,,Mercedes,2019 Mercedes-Benz Mercedes-AMG GT,"$125,695 ",
341,,,,Mercedes,2019 Mercedes-Benz Mercedes-AMG S-Class,"$181,095 ",
342,,,,Mercedes,2019 Mercedes-Benz Mercedes-AMG SL,"$155,445 ",
343,,,,Mercedes,2019 Mercedes-Benz Mercedes-AMG SLC,"$64,895 ",
344,,,,Mercedes,2019 Mercedes-Benz Mercedes-Maybach S-Class,"$172,195 ",
345,,,,Mercedes,2020 Mercedes-Benz S-Class,"$139,595 ",
346,,,,Mercedes,2020 Mercedes-Benz SL,"$91,995 ",
347,,,,Mercedes,2020 Mercedes-Benz SLC,"$50,945 ",
348,,,,Mercedes,2019 Mercedes-Benz Metris Cargo,"$31,895 ",
349,,,,Mercedes,2019 Mercedes-Benz Metris Passenger,"$35,995 ",
350,,,,Mercedes,2020 Mercedes-Benz Metris WORKER Cargo,"$28,375 ",
351,,,,Mercedes,2020 Mercedes-Benz Metris WORKER Passenger,"$32,545 ",
352,,,,Mercedes,2020 Mercedes-Benz Sprinter 1500 Cargo,"$35,690 ",
353,,,,Mercedes,2020 Mercedes-Benz Sprinter 1500 Passenger,"$42,290 ",
354,,,,Mercedes,2020 Mercedes-Benz Sprinter 2500 Cargo,"$36,915 ",
355,,,,Mercedes,2020 Mercedes-Benz Sprinter 2500 Crew,"$40,590 ",
356,,,,Mercedes,2020 Mercedes-Benz Sprinter 2500 Passenger,"$43,515 ",
357,,,,Mercedes,2020 Mercedes-Benz Sprinter 3500 Cargo,"$46,940 ",
358,,,,Mercedes,2020 Mercedes-Benz Sprinter 3500 Crew,"$47,840 ",
359,,,,Mercedes,2020 Mercedes-Benz Sprinter 3500 XD Cargo,"$46,515 ",
360,,,,Mercedes,2020 Mercedes-Benz Sprinter 3500 XD Crew,"$50,190 ",
361,,,,Mercedes,2020 Mercedes-Benz Sprinter 4500 Cargo,"$48,565 ",
362,,,,Mercedes,2020 Mercedes-Benz Sprinter 4500 Crew,"$52,240 ",
363,,,,Mercedes,2019 Mercedes-Benz GLC,"$51,645 ",
364,,,,Mercedes,2020 Mercedes-Benz S-Class,"$110,745 ",
365,,,,Mercedes,2019 Mercedes-Benz GLC,"$51,645 ",
366,,,,Mercedes,2020 Mercedes-Benz S-Class,"$110,745 ",
367,,,,Mercedes,2020 Mercedes-Benz C-Class,"$46,945 ",
368,,,,Mercedes,2020 Mercedes-Benz CLA,"$37,645 ",
369,,,,Mercedes,2020 Mercedes-Benz CLS,"$70,945 ",
370,,,,Mercedes,2020 Mercedes-Benz E-Class,"$65,345 ",
371,,,,Mercedes,2020 Mercedes-Benz Mercedes-AMG C-Class,"$59,495 ",
372,,,,Mercedes,2019 Mercedes-Benz Mercedes-AMG CLA,"$54,095 ",
373,,,,Mercedes,2020 Mercedes-Benz Mercedes-AMG CLS,"$82,195 ",
374,,,,Mercedes,2020 Mercedes-Benz Mercedes-AMG E-Class,"$75,945 ",
375,,,,Mercedes,2019 Mercedes-Benz Mercedes-AMG GT,"$113,695 ",
376,,,,Mercedes,2019 Mercedes-Benz Mercedes-AMG S-Class,"$170,445 ",
377,,,,Mercedes,2019 Mercedes-Benz Mercedes-AMG SL,"$155,445 ",
378,,,,Mercedes,2019 Mercedes-Benz Mercedes-AMG SLC,"$64,895 ",
379,,,,Mercedes,2020 Mercedes-Benz S-Class,"$131,145 ",
380,,,,Mercedes,2020 Mercedes-Benz SL,"$91,995 ",
381,,,,Mercedes,2020 Mercedes-Benz SLC,"$50,945 ",
382,,,,Mercedes,2020 Mercedes-Benz E-Class,"$67,095 ",
383,,,,Mercedes,2020 Mercedes-Benz Mercedes-AMG E-Class,"$112,745 ",
384,,,,Mercedes,2020 Mercedes-Benz C-Class,"$54,945 ",
385,,,,Mercedes,2020 Mercedes-Benz E-Class,"$72,395 ",
386,,,,Mercedes,2020 Mercedes-Benz Mercedes-AMG C-Class,"$65,745 ",
387,,,,Mercedes,2020 Mercedes-Benz Mercedes-AMG E-Class,"$82,645 ",
388,,,,Mercedes,2019 Mercedes-Benz Mercedes-AMG GT,"$125,695 ",
389,,,,Mercedes,2019 Mercedes-Benz Mercedes-AMG S-Class,"$181,095 ",
390,,,,Mercedes,2019 Mercedes-Benz Mercedes-AMG SL,"$155,445 ",
391,,,,Mercedes,2019 Mercedes-Benz Mercedes-AMG SLC,"$64,895 ",
392,,,,Mercedes,2020 Mercedes-Benz S-Class,"$139,595 ",
393,,,,Mercedes,2020 Mercedes-Benz SL,"$91,995 ",
394,,,,Mercedes,2020 Mercedes-Benz SLC,"$50,945 ",
395,,,,,2020 Tesla Model 3,"$39,190 ",Tesla
396,,,,,2020 Tesla Model S,"$81,190 ",Tesla
397,,,,,2019 Tesla Model X,"$83,200 ",Tesla
398,,,,,2020 Tesla Model Y,"$54,190 ",Tesla
399,,,,,2020 Lincoln Continental,"$60,865 ",Ford
400,,,,,2020 Lincoln MKZ,"$37,745 ",Ford
401,,,,,2020 Lincoln Aviator,"$52,195 ",Ford
402,,,,,2020 Lincoln Corsair,"$36,940 ",Ford
403,,,,,2019 Lincoln MKC,"$37,745 ",Ford
404,,,,,2019 Lincoln MKT,"$50,495 ",Ford
405,,,,,2020 Lincoln Nautilus,"$42,035 ",Ford
406,,,,,2020 Lincoln Navigator,"$83,020 ",Ford
407,,,,,2020 Lincoln Navigator L,"$86,220 ",Ford
408,,,,,2020 Lincoln Aviator-Hybrid,"$69,895 ",Ford
409,,,,,2019 Cadillac ATS,"$39,990 ",GM
410,,,,,2019 Cadillac ATS-V,"$68,790 ",GM
411,,,,,2019 Cadillac CT6-V,"$92,790 ",GM
412,,,,,2019 Cadillac CTS,"$47,990 ",GM
413,,,,,2019 Cadillac CTS-V,"$87,990 ",GM
414,,,,,2019 Cadillac XTS,"$47,890 ",GM
415,,,,,2020 Cadillac CT4,"$33,990 ",GM
416,,,,,2020 Cadillac CT5,"$37,890 ",GM
417,,,,,2020 Cadillac CT6,"$59,990 ",GM
418,,,,,2020 Cadillac Escalade,"$76,490 ",GM
419,,,,,2020 Cadillac Escalade ESV,"$79,490 ",GM
420,,,,,2020 Cadillac XT4,"$36,690 ",GM
421,,,,,2020 Cadillac XT5,"$49,790 ",GM
422,,,,,2020 Cadillac XT6,"$53,690 ",GM
423,,,,,2021 Buick Encore,"$24,195 ",GM
424,,,,,2021 Buick Encore GX,"$25,195 ",GM
425,,,,,2020 Buick Regal Sportback,"$28,895 ",GM
426,,,,,2020 Buick Regal TourX,"$30,295 ",GM
427,,,,,2019 Buick LaCrosse,"$30,495 ",GM
428,,,,,2019 Buick Cascada,"$33,995 ",GM
429,,,,,2020 Buick Enclave,"$41,195 ",GM
430,,,,,2020 Buick Envision,"$44,795 ",GM
431,,,,,2019 GMC Savana 2500 Cargo,"$33,095 ",GM
432,,,,,2019 GMC Savana 2500 Passenger,"$36,095 ",GM
433,,,,,2019 GMC Savana 3500 Cargo,"$36,195 ",GM
434,,,,,2019 GMC Savana 3500 Passenger,"$38,395 ",GM
435,,,,,2019 GMC Sierra 1500 Limited Double Cab,"$36,595 ",GM
436,,,,,2019 GMC Sierra 1500 Regular Cab,"$31,095 ",GM
437,,,,,2019 GMC Sierra 2500 HD Double Cab,"$39,695 ",GM
438,,,,,2019 GMC Sierra 2500 HD Regular Cab,"$40,095 ",GM
439,,,,,2020 GMC Sierra 1500 Crew Cab,"$37,495 ",GM
440,,,,,2020 GMC Sierra 1500 Double Cab,"$39,595 ",GM
441,,,,,2020 GMC Sierra 2500 HD Crew Cab,"$41,595 ",GM
442,,,,,2020 GMC Sierra 3500 HD Crew Cab,"$66,495 ",GM
443,,,,,2020 GMC Terrain,"$26,195 ",GM
444,,,,,2021 GMC Acadia,"$30,995 ",GM
445,,,,,2021 GMC Canyon Crew Cab,"$29,495 ",GM
446,,,,,2021 GMC Canyon Extended Cab,"$27,595 ",GM
447,,,,,2021 GMC Yukon,"$69,695 ",GM
448,,,,,2021 GMC Yukon XL,"$54,695 ",GM
449,,,,,2019 Chevrolet Cruze,"$18,870 ",GM
450,,,,,2019 Chevrolet Equinox,"$24,995 ",GM
451,,,,,2019 Chevrolet Express 2500 Passenger,"$36,095 ",GM
452,,,,,2019 Chevrolet Express 3500 Passenger,"$38,395 ",GM
453,,,,,2019 Chevrolet Malibu,"$28,945 ",GM
454,,,,,2019 Chevrolet Silverado 1500 Crew Cab,"$42,695 ",GM
455,,,,,2019 Chevrolet Silverado 1500 Double Cab,"$33,695 ",GM
456,,,,,2019 Chevrolet Silverado 1500 LD Double Cab,"$35,995 ",GM
457,,,,,2019 Chevrolet Volt,"$34,395 ",GM
458,,,,,2020 Chevrolet Bolt EV,"$37,495 ",GM
459,,,,,2020 Chevrolet Camaro,"$26,495 ",GM
460,,,,,2020 Chevrolet Corvette,"$59,995 ",GM
461,,,,,2020 Chevrolet Express 2500 Cargo,"$33,795 ",GM
462,,,,,2020 Chevrolet Express 3500 Cargo,"$36,895 ",GM
463,,,,,2020 Chevrolet Impala,"$32,495 ",GM
464,,,,,2020 Chevrolet Malibu,"$22,970 ",GM
465,,,,,2020 Chevrolet Silverado 1500 Regular Cab,"$29,895 ",GM
466,,,,,2020 Chevrolet Silverado 2500 HD Crew Cab,"$39,895 ",GM
467,,,,,2020 Chevrolet Silverado 2500 HD Double Cab,"$38,595 ",GM
468,,,,,2020 Chevrolet Silverado 3500 HD Crew Cab,"$41,095 ",GM
469,,,,,2020 Chevrolet Sonic,"$20,295 ",GM
470,,,,,2020 Chevrolet Spark,"$14,095 ",GM
471,,,,,2020 Chevrolet Suburban,"$52,995 ",GM
472,,,,,2021 Chevrolet Blazer,"$29,995 ",GM
473,,,,,2021 Chevrolet Colorado Crew Cab,"$28,295 ",GM
474,,,,,2021 Chevrolet Colorado Extended Cab,"$26,395 ",GM
475,,,,,2021 Chevrolet Corvette,"$67,495 ",GM
476,,,,,2021 Chevrolet Silverado 2500 HD Regular Cab,"$36,295 ",GM
477,,,,,2021 Chevrolet Tahoe,"$55,095 ",GM
478,,,,,2021 Chevrolet Trailblazer,"$19,995 ",GM
479,,,,,2021 Chevrolet Traverse,"$44,895 ",GM
480,,,,,2021 Chevrolet Trax,"$22,395 ",GM
481,,,,,2019 Ford Expedition,"$53,525 ",Ford
482,,,,,2019 Ford Fiesta,"$15,235 ",Ford
483,,,,,2019 Ford Flex,"$31,670 ",Ford
484,,,,,2019 Ford Fusion Energi,"$35,490 ",Ford
485,,,,,2019 Ford Taurus,"$38,405 ",Ford
486,,,,,2019 Ford Transit 150 Van,"$34,630 ",Ford
487,,,,,2019 Ford Transit 150 Wagon,"$37,335 ",Ford
488,,,,,2019 Ford Transit 250 Van,"$35,580 ",Ford
489,,,,,2019 Ford Transit 350 HD Van,"$42,700 ",Ford
490,,,,,2019 Ford Transit 350 Van,"$37,285 ",Ford
491,,,,,2019 Ford Transit 350 Wagon,"$41,065 ",Ford
492,,,,,2019 Ford Transit Connect Cargo,"$25,295 ",Ford
493,,,,,2020 Ford EcoSport,"$21,090 ",Ford
494,,,,,2020 Ford Edge,"$32,345 ",Ford
495,,,,,2020 Ford Escape,"$28,290 ",Ford
496,,,,,2020 Ford Expedition MAX,"$57,230 ",Ford
497,,,,,2020 Ford Explorer,"$34,010 ",Ford
498,,,,,2020 Ford F150 Regular Cab,"$30,090 ",Ford
499,,,,,2020 Ford F150 Super Cab,"$34,175 ",Ford
500,,,,,2020 Ford F150 SuperCrew Cab,"$36,630 ",Ford
501,,,,,2020 Ford F250 Super Duty Crew Cab,"$38,890 ",Ford
502,,,,,2020 Ford F250 Super Duty Regular Cab,"$35,730 ",Ford
503,,,,,2020 Ford F250 Super Duty Super Cab,"$38,065 ",Ford
504,,,,,2020 Ford F350 Super Duty Crew Cab,"$46,530 ",Ford
505,,,,,2020 Ford F350 Super Duty Regular Cab,"$37,245 ",Ford
506,,,,,2020 Ford F350 Super Duty Super Cab,"$39,580 ",Ford
507,,,,,2020 Ford F450 Super Duty Crew Cab,"$56,325 ",Ford
508,,,,,2020 Ford F450 Super Duty Regular Cab,"$51,905 ",Ford
509,,,,,2020 Ford Fusion,"$35,790 ",Ford
510,,,,,2020 Ford Fusion Plug-in Hybrid,"$36,195 ",Ford
511,,,,,2020 Ford Mustang,"$27,765 ",Ford
512,,,,,2020 Ford Ranger SuperCab,"$25,605 ",Ford
513,,,,,2020 Ford Ranger SuperCrew,"$31,830 ",Ford
514,,,,,2020 Ford Transit 150 Cargo Van,"$36,205 ",Ford
515,,,,,2020 Ford Transit 150 Crew Van,"$38,415 ",Ford
516,,,,,2020 Ford Transit 150 Passenger Van,"$41,875 ",Ford
517,,,,,2020 Ford Transit 250 Cargo Van,"$37,155 ",Ford
518,,,,,2020 Ford Transit 250 Crew Van,"$39,365 ",Ford
519,,,,,2020 Ford Transit 350 Passenger Van,"$42,730 ",Ford
520,,,,,2020 Ford Transit Connect Cargo Van,"$25,570 ",Ford
521,,,,,2020 Ford Transit Connect Passenger Wagon,"$33,545 ",Ford
522,,,,,2021 Ford Bronco Sport,"$28,155 ",Ford
523,,,,,2020 Alfa Romeo 4C Spider,"$68,745 ",Chrysler
524,,,,,2020 Alfa Romeo Giulia,"$40,695 ",Chrysler
525,,,,,2020 Alfa Romeo Stelvio,"$42,695 ",Chrysler
526,,,,,2020 Chrysler 300,"$31,535 ",Chrysler
527,,,,,2020 Chrysler Pacifica,"$34,990 ",Chrysler
528,,,,,2020 Chrysler Pacifica Hybrid,"$41,490 ",Chrysler
529,,,,,2021 Chrysler Voyager,"$28,730 ",Chrysler
530,,,,,2019 Dodge Grand Caravan Passenger,"$27,595 ",Chrysler
531,,,,,2020 Dodge Challenger,"$29,590 ",Chrysler
532,,,,,2020 Dodge Charger,"$31,390 ",Chrysler
533,,,,,2020 Dodge Durango,"$45,490 ",Chrysler
534,,,,,2020 Dodge Journey,"$25,170 ",Chrysler
535,,,,,2019 FIAT 500,"$17,740 ",Chrysler
536,,,,,2019 FIAT 500 Abarth,"$21,990 ",Chrysler
537,,,,,2019 FIAT 500c,"$19,485 ",Chrysler
538,,,,,2019 FIAT 500c Abarth,"$23,485 ",Chrysler
539,,,,,2019 FIAT 500e,"$34,705 ",Chrysler
540,,,,,2020 FIAT 124 Spider,"$27,880 ",Chrysler
541,,,,,2020 FIAT 500L,"$23,995 ",Chrysler
542,,,,,2020 FIAT 500X,"$26,085 ",Chrysler
543,,,,,2019 Jeep Wrangler Unlimited,"$33,040 ",Chrysler
544,,,,,2020 Jeep Renegade,"$25,620 ",Chrysler
545,,,,,2020 Jeep Wrangler,"$29,790 ",Chrysler
546,,,,,2021 Jeep Cherokee,"$27,785 ",Chrysler
547,,,,,2021 Jeep Compass,"$25,390 ",Chrysler
548,,,,,2021 Jeep Gladiator,"$35,060 ",Chrysler
549,,,,,2021 Jeep Grand Cherokee,"$35,715 ",Chrysler
550,,,,,2019 Maserati Ghibli,"$76,975 ",Chrysler
551,,,,,2019 Maserati GranTurismo,"$152,975 ",Chrysler
552,,,,,2019 Maserati Levante,"$78,385 ",Chrysler
553,,,,,2019 Maserati Quattroporte,"$109,975 ",Chrysler
554,,,,,2019 Ram 1500 Classic Regular Cab,"$29,090 ",Chrysler
555,,,,,2019 Ram 1500 Quad Cab,"$34,535 ",Chrysler
556,,,,,2019 Ram 2500 Regular Cab,"$35,090 ",Chrysler
557,,,,,2019 Ram 3500 Mega Cab,"$49,545 ",Chrysler
558,,,,,2019 Ram 3500 Regular Cab,"$36,790 ",Chrysler
559,,,,,2020 Ram 1500 Classic Crew Cab,"$40,240 ",Chrysler
560,,,,,2020 Ram 1500 Classic Quad Cab,"$33,800 ",Chrysler
561,,,,,2020 Ram 1500 Crew Cab,"$36,640 ",Chrysler
562,,,,,2020 Ram 2500 Crew Cab,"$63,145 ",Chrysler
563,,,,,2020 Ram 2500 Mega Cab,"$48,445 ",Chrysler
564,,,,,2020 Ram 3500 Crew Cab,"$40,345 ",Chrysler
565,,,,,2020 Ram ProMaster City,"$26,075 ",Chrysler
566,,,,,2021 Ram ProMaster Cargo Van,"$33,235 ",Chrysler
567,,,,,2021 Ram ProMaster Window Van,"$38,985 ",Chrysler
